"literal","code","standard","contributor","broader_code","broader_term","uri","broader_uri"
"acteurs","300025658","acteurs","AAT Getty NL","300068931","uitvoerend kunstenaars","http://vocab.getty.edu/aat/300025658","http://vocab.getty.edu/aat/300068931"
"kaliefen","300264254","kaliefen","AAT Getty NL","300025475","heersers","http://vocab.getty.edu/aat/300264254","http://vocab.getty.edu/aat/300025475"
"hagiografen","300025495","hagiografen","AAT Getty NL","300025494","biografen","http://vocab.getty.edu/aat/300025495","http://vocab.getty.edu/aat/300025494"
"commentatoren","300025506","commentatoren","AAT Getty NL","300025501","journalisten","http://vocab.getty.edu/aat/300025506","http://vocab.getty.edu/aat/300025501"
"streekhistorici","300251988","streekhistorici","AAT Getty NL","300025539","historici","http://vocab.getty.edu/aat/300251988","http://vocab.getty.edu/aat/300025539"
"uitleenbibliothecarissen","300025558","uitleenbibliothecarissen","AAT Getty NL","300025555","bibliothecarissen","http://vocab.getty.edu/aat/300025558","http://vocab.getty.edu/aat/300025555"
"grammatici","300025537","grammatici","AAT Getty NL","300025561","linguisten","http://vocab.getty.edu/aat/300025537","http://vocab.getty.edu/aat/300025561"
"epistomologen","300251507","epistomologen","AAT Getty NL","300025569","filosofen","http://vocab.getty.edu/aat/300251507","http://vocab.getty.edu/aat/300025569"
"etnologen","300025585","etnologen","AAT Getty NL","300025583","antropologen","http://vocab.getty.edu/aat/300025585","http://vocab.getty.edu/aat/300025583"
"paleogeografen","300025595","paleogeografen","AAT Getty NL","300025592","geografen","http://vocab.getty.edu/aat/300025595","http://vocab.getty.edu/aat/300025592"
"bibliotherapeuten","300253636","bibliotherapeuten","AAT Getty NL","300025598","therapeuten","http://vocab.getty.edu/aat/300253636","http://vocab.getty.edu/aat/300025598"
"vissers","300025608","vissers","AAT Getty NL","300025603","<personen in de landbouw en natuurlijke hulpbronnen>","http://vocab.getty.edu/aat/300025608","http://vocab.getty.edu/aat/300025603"
"stadsbosbouwers","300261097","stadsbosbouwers","AAT Getty NL","300025609","boswachters","http://vocab.getty.edu/aat/300261097","http://vocab.getty.edu/aat/300025609"
"rechters","300025625","rechters","AAT Getty NL","300025622","personen in de rechten","http://vocab.getty.edu/aat/300025625","http://vocab.getty.edu/aat/300025622"
"pro-deo-advocaten","300156496","pro-deo-advocaten","AAT Getty NL","300025627","advocaten","http://vocab.getty.edu/aat/300156496","http://vocab.getty.edu/aat/300025627"
"conservatoren","300025633","conservatoren","AAT Getty NL","300025631","<personen in de museologie>","http://vocab.getty.edu/aat/300025633","http://vocab.getty.edu/aat/300025631"
"choregen","300251113","choregen","AAT Getty NL","300025645","<personen in de uitvoerende kunsten>","http://vocab.getty.edu/aat/300251113","http://vocab.getty.edu/aat/300025645"
"theaterregisseurs","300312210","theaterregisseurs","AAT Getty NL","300025654","regisseurs","http://vocab.getty.edu/aat/300312210","http://vocab.getty.edu/aat/300025654"
"bandleden","300122949","bandleden","AAT Getty NL","300025666","musici","http://vocab.getty.edu/aat/300122949","http://vocab.getty.edu/aat/300025666"
"koordirigenten","300264212","koordirigenten","AAT Getty NL","300025672","dirigenten","http://vocab.getty.edu/aat/300264212","http://vocab.getty.edu/aat/300025672"
"cineasten","300025650","cineasten","AAT Getty NL","300025687","fotografen","http://vocab.getty.edu/aat/300025650","http://vocab.getty.edu/aat/300025687"
"boekenmakers","300264598","boekenmakers","AAT Getty NL","300025701","<personen in de grafische industrie>","http://vocab.getty.edu/aat/300264598","http://vocab.getty.edu/aat/300025701"
"smoutdrukkers","300025734","smoutdrukkers","AAT Getty NL","300025732","drukkers","http://vocab.getty.edu/aat/300025734","http://vocab.getty.edu/aat/300025732"
"boeddhistische geestelijken","300412026","boeddhistische geestelijken","AAT Getty NL","300025747","geestelijken","http://vocab.getty.edu/aat/300412026","http://vocab.getty.edu/aat/300025747"
"prioressen","300265215","prioressen","AAT Getty NL","300025770","nonnen","http://vocab.getty.edu/aat/300265215","http://vocab.getty.edu/aat/300025770"
"krijger-priesters","300411643","krijger-priesters","AAT Getty NL","300025774","priesters","http://vocab.getty.edu/aat/300411643","http://vocab.getty.edu/aat/300025774"
"rekenkundigen","300264410","rekenkundigen","AAT Getty NL","300025786","wiskundigen","http://vocab.getty.edu/aat/300264410","http://vocab.getty.edu/aat/300025786"
"biologen","300025790","biologen","AAT Getty NL","300025788","wetenschappers","http://vocab.getty.edu/aat/300025790","http://vocab.getty.edu/aat/300025788"
"mariene biologen","300136436","mariene biologen","AAT Getty NL","300025790","biologen","http://vocab.getty.edu/aat/300136436","http://vocab.getty.edu/aat/300025790"
"ichtyologen","300136437","ichtyologen","AAT Getty NL","300025792","zoölogen","http://vocab.getty.edu/aat/300136437","http://vocab.getty.edu/aat/300025792"
"biochemici","300236030","biochemici","AAT Getty NL","300025793","chemici","http://vocab.getty.edu/aat/300236030","http://vocab.getty.edu/aat/300025793"
"geomorfologen","300025800","geomorfologen","AAT Getty NL","300025799","geologen","http://vocab.getty.edu/aat/300025800","http://vocab.getty.edu/aat/300025799"
"psychiaters","300025811","psychiaters","AAT Getty NL","300025809","artsen","http://vocab.getty.edu/aat/300025811","http://vocab.getty.edu/aat/300025809"
"geofysici","300264406","geofysici","AAT Getty NL","300025816","natuurkundigen","http://vocab.getty.edu/aat/300264406","http://vocab.getty.edu/aat/300025816"
"politieagentes","300264350","politieagentes","AAT Getty NL","300025867","politieagenten","http://vocab.getty.edu/aat/300264350","http://vocab.getty.edu/aat/300025867"
"seizoensarbeiders","300025891","seizoensarbeiders","AAT Getty NL","300025886","arbeiders","http://vocab.getty.edu/aat/300025891","http://vocab.getty.edu/aat/300025886"
"ongeschoolde handarbeiders","300025888","ongeschoolde handarbeiders","AAT Getty NL","300025887","handarbeiders","http://vocab.getty.edu/aat/300025888","http://vocab.getty.edu/aat/300025887"
"theemeesters","300343833","theemeesters","AAT Getty NL","300025904","meesters","http://vocab.getty.edu/aat/300343833","http://vocab.getty.edu/aat/300025904"
"actuarissen","300024983","actuarissen","AAT Getty NL","300024981","<personen in de boekhouding>","http://vocab.getty.edu/aat/300024983","http://vocab.getty.edu/aat/300024981"
"geassocieerde architecten","300024988","geassocieerde architecten","AAT Getty NL","300024987","architecten","http://vocab.getty.edu/aat/300024988","http://vocab.getty.edu/aat/300024987"
"schietmeesters","300025004","schietmeesters","AAT Getty NL","300025001","bouwvakkers","http://vocab.getty.edu/aat/300025004","http://vocab.getty.edu/aat/300025001"
"algemene aannemers","300025053","algemene aannemers","AAT Getty NL","300025052","aannemers","http://vocab.getty.edu/aat/300025053","http://vocab.getty.edu/aat/300025052"
"renderers","300025179","renderers","AAT Getty NL","300025059","technisch tekenaars","http://vocab.getty.edu/aat/300025179","http://vocab.getty.edu/aat/300025059"
"milieuontwerpers","300251196","milieuontwerpers","AAT Getty NL","300025090","planologen","http://vocab.getty.edu/aat/300251196","http://vocab.getty.edu/aat/300025090"
"art directors","300025102","art directors","AAT Getty NL","300025101","<personen in de visuele kunsten>","http://vocab.getty.edu/aat/300025102","http://vocab.getty.edu/aat/300025101"
"wasschilders","300378947","wasschilders","AAT Getty NL","300025143","<schilders naar techniek, instrument of gebruikt materiaal>","http://vocab.getty.edu/aat/300378947","http://vocab.getty.edu/aat/300025143"
"graffitikunstenaars","300312066","graffitikunstenaars","AAT Getty NL","300025153","muurschilders","http://vocab.getty.edu/aat/300312066","http://vocab.getty.edu/aat/300025153"
"graveurs","300025165","graveurs (prentkunstenaars)","AAT Getty NL","300025164","prentkunstenaars","http://vocab.getty.edu/aat/300025165","http://vocab.getty.edu/aat/300025164"
"prentkunstenaars","300025165","graveurs (prentkunstenaars)","AAT Getty NL","300025164","prentkunstenaars","http://vocab.getty.edu/aat/300025165","http://vocab.getty.edu/aat/300025164"
"mezzotingraveerders","300025176","mezzotingraveerders","AAT Getty NL","300025165","graveurs (prentkunstenaars)","http://vocab.getty.edu/aat/300025176","http://vocab.getty.edu/aat/300025165"
"fotolithografen","300025726","fotolithografen","AAT Getty NL","300025175","lithografen","http://vocab.getty.edu/aat/300025726","http://vocab.getty.edu/aat/300025175"
"coroplasten","300400624","coroplasten","AAT Getty NL","300025181","beeldhouwers","http://vocab.getty.edu/aat/300400624","http://vocab.getty.edu/aat/300025181"
"kostuumontwerpers","300163428","kostuumontwerpers","AAT Getty NL","300025190","ontwerpers","http://vocab.getty.edu/aat/300163428","http://vocab.getty.edu/aat/300025190"
"interieurontwerpers","300162547","interieurontwerpers","AAT Getty NL","300025205","binnenhuisarchitecten","http://vocab.getty.edu/aat/300162547","http://vocab.getty.edu/aat/300025205"
"zaakwaarnemers","300025213","zaakwaarnemers","AAT Getty NL","300025207","<personen in de handel en zakenwereld>","http://vocab.getty.edu/aat/300025213","http://vocab.getty.edu/aat/300025207"
"verzekeringsagenten","300025217","verzekeringsagenten","AAT Getty NL","300025213","zaakwaarnemers","http://vocab.getty.edu/aat/300025217","http://vocab.getty.edu/aat/300025213"
"wandtapijtenhandelaars","300265035","wandtapijtenhandelaars","AAT Getty NL","300025236","handelaren","http://vocab.getty.edu/aat/300265035","http://vocab.getty.edu/aat/300025236"
"bouquinisten","300265407","bouquinisten","AAT Getty NL","300025245","kooplieden","http://vocab.getty.edu/aat/300265407","http://vocab.getty.edu/aat/300025245"
"winkeliers","300025247","winkeliers","AAT Getty NL","300025246","detailhandelaars","http://vocab.getty.edu/aat/300025247","http://vocab.getty.edu/aat/300025246"
"gieters","300025257","gieters (personen)","AAT Getty NL","300025254","<personen in ambachten en beroepen naar activiteit>","http://vocab.getty.edu/aat/300025257","http://vocab.getty.edu/aat/300025254"
"leertouwers","300025290","leertouwers","AAT Getty NL","300025288","leerbewerkers","http://vocab.getty.edu/aat/300025290","http://vocab.getty.edu/aat/300025288"
"ciseleurs","300263566","ciseleurs","AAT Getty NL","300025300","<metaalwerkers naar proces of techniek>","http://vocab.getty.edu/aat/300263566","http://vocab.getty.edu/aat/300025300"
"koperslagers","300025315","koperslagers","AAT Getty NL","300025312","<metaalwerkers naar type metaal>","http://vocab.getty.edu/aat/300025315","http://vocab.getty.edu/aat/300025312"
"marmeraars","300025346","marmeraars","AAT Getty NL","300025344","papiermakers","http://vocab.getty.edu/aat/300025346","http://vocab.getty.edu/aat/300025344"
"bontwerkers","300025353","bontwerkers","AAT Getty NL","300025349","textielwerkers","http://vocab.getty.edu/aat/300025353","http://vocab.getty.edu/aat/300025349"
"ebenisten","300025373","ebenisten","AAT Getty NL","300025370","kastenmakers","http://vocab.getty.edu/aat/300025373","http://vocab.getty.edu/aat/300025370"
"pottenbakkers","300025414","pottenbakkers","AAT Getty NL","300025388","keramisten","http://vocab.getty.edu/aat/300025414","http://vocab.getty.edu/aat/300025388"
"stoelenmakers","300025405","stoelenmakers","AAT Getty NL","300025401","meubelmakers","http://vocab.getty.edu/aat/300025405","http://vocab.getty.edu/aat/300025401"
"bureaucraten","300025430","bureaucraten","AAT Getty NL","300025426","<personen in regering en bestuur>","http://vocab.getty.edu/aat/300025430","http://vocab.getty.edu/aat/300025426"
"leidinggevenden","300025432","leidinggevenden","AAT Getty NL","300025427","bestuurders","http://vocab.getty.edu/aat/300025432","http://vocab.getty.edu/aat/300025427"
